,0,1,2,3,4,5,6,7
0,False,True,False,False,False,False,False,False
1,False,True,False,False,False,False,False,False
2,False,False,False,False,False,False,False,False
3,False,True,False,False,False,False,False,False
4,False,True,False,False,False,False,False,False
5,False,True,False,False,False,False,False,False
6,False,True,False,False,False,False,False,False
7,False,False,False,False,False,False,False,False
8,False,True,False,False,False,False,False,False
9,False,True,False,False,False,False,False,False
10,False,True,False,False,False,False,False,False
11,False,True,False,False,False,False,False,False
12,False,True,False,False,False,False,False,False
13,False,True,False,False,False,False,False,False
14,False,True,False,False,False,False,False,False
15,False,True,False,False,False,False,False,False
16,False,True,False,False,False,False,False,False
17,False,True,False,False,False,False,False,False
18,False,True,False,False,False,False,False,False
19,False,True,False,False,False,False,False,False
20,False,True,False,False,False,False,False,False
21,False,True,False,False,False,False,False,False
22,False,True,False,False,False,False,False,False
23,False,True,False,False,False,False,False,False
24,True,False,False,False,False,False,False,False
25,False,True,False,False,False,False,False,False
26,False,True,False,False,False,False,False,False
27,False,True,False,False,False,False,False,False
28,False,False,False,False,False,False,False,False
29,False,True,False,False,False,False,False,False
30,False,True,False,False,False,False,False,False
31,False,True,False,False,False,False,False,False
32,False,False,False,False,False,False,False,False
33,False,False,False,False,False,False,False,False
34,True,False,False,False,False,False,False,False
35,False,True,False,False,False,False,False,False
36,False,False,False,False,False,False,False,False
37,False,False,False,True,False,False,False,False
38,True,False,False,False,False,False,False,False
39,True,False,False,False,False,False,False,False
40,True,False,False,False,False,False,False,False
41,True,False,False,False,False,False,False,False
42,False,False,False,False,False,False,False,False
43,True,False,False,False,False,False,False,False
44,True,False,False,False,False,False,False,False
45,True,False,False,False,False,False,False,False
46,False,False,False,True,False,False,True,True
47,True,False,False,False,False,False,False,False
48,True,False,False,False,False,False,False,False
49,True,False,False,False,False,False,False,False
50,False,False,False,True,False,False,False,False
51,True,False,False,False,False,False,False,False
52,False,False,False,True,False,False,False,False
53,False,False,False,True,False,False,False,True
54,False,False,False,True,False,False,False,True
55,True,False,False,False,False,False,False,False
56,False,False,False,False,False,False,False,False
57,False,False,False,True,False,False,False,False
58,True,False,False,False,False,False,False,False
59,False,False,False,False,False,False,False,False
60,True,False,False,False,False,False,False,False
61,False,False,False,False,False,False,False,True
62,False,False,False,False,False,False,False,True
63,False,False,False,False,False,False,False,True
64,False,False,False,False,False,False,False,False
65,False,False,False,False,False,False,False,True
66,False,False,False,False,False,False,False,True
67,True,False,False,False,False,False,False,False
68,True,False,False,False,False,False,False,False
69,True,False,False,False,False,False,False,False
70,True,False,False,False,False,False,False,False
71,False,False,False,False,False,False,False,False
72,False,False,False,False,False,False,False,False
73,False,False,False,False,False,False,True,True
74,True,False,False,False,False,False,False,False
75,True,False,False,False,False,False,False,False
76,True,False,False,False,False,False,False,False
77,True,False,False,False,False,False,False,False
78,False,False,False,False,True,False,False,False
79,False,True,False,False,False,False,False,False
80,False,False,False,False,False,False,False,True
81,False,False,False,False,False,False,False,True
82,False,False,False,False,False,False,False,True
83,False,False,False,False,False,False,False,True
84,False,False,False,False,True,False,False,False
85,False,False,False,False,False,False,False,True
86,False,False,False,False,False,False,False,True
87,False,False,False,False,False,False,False,True
88,False,False,False,False,False,False,False,False
89,False,False,False,False,True,False,False,False
90,False,False,False,False,True,False,False,False
91,False,False,False,False,False,False,False,True
92,False,False,False,False,False,False,False,True
93,False,False,False,False,False,False,False,True
94,False,False,False,False,True,False,False,False
95,False,False,False,False,False,False,False,True
96,False,False,False,False,False,False,False,True
97,False,False,False,False,False,False,False,True
98,False,False,False,False,False,False,False,True
99,False,False,False,False,False,False,False,True
100,False,False,False,False,False,False,False,True
101,False,False,False,False,False,False,False,True
102,False,False,False,False,False,False,False,True
103,False,False,False,False,False,False,False,True
104,False,False,False,False,False,False,False,True
105,False,False,False,False,False,False,False,True
106,False,False,False,False,False,False,False,False
107,False,False,False,True,False,False,False,False
108,False,False,False,True,False,False,False,False
109,False,False,False,True,False,False,False,False
110,False,False,False,False,False,False,False,False
111,False,False,False,False,True,False,False,False
112,False,False,True,False,False,False,False,False
113,False,False,False,False,True,False,False,False
114,False,False,False,True,False,False,False,False
115,False,False,False,True,False,False,False,False
116,False,False,False,True,False,False,False,False
117,False,False,False,True,False,False,False,False
118,False,False,False,False,False,False,False,False
119,False,False,False,False,False,False,False,False
120,False,False,False,False,False,True,False,False
121,False,False,False,False,False,False,False,False
122,False,True,False,False,False,False,False,False
123,False,False,False,True,False,False,False,False
124,False,False,False,False,False,False,False,False
125,False,False,False,False,False,False,False,False
126,False,False,False,False,False,False,False,False
127,False,False,False,False,False,False,False,False
128,True,False,False,False,False,False,False,False
129,False,False,True,False,False,False,False,False
130,False,False,False,False,False,False,False,True
131,False,False,False,False,False,False,False,True
132,False,False,False,True,False,False,True,True
133,False,False,False,True,False,False,True,True
134,False,False,False,False,False,True,False,False
135,False,False,False,True,False,False,False,False
136,False,False,False,True,False,False,False,False
137,False,False,False,False,False,False,False,True
138,False,False,False,False,True,False,False,False
139,False,False,False,False,False,False,True,True
140,False,False,False,False,False,False,False,False
141,True,False,False,False,False,False,False,False
142,False,False,False,False,False,False,False,False
143,False,False,False,False,True,False,False,False
144,False,False,True,False,False,False,False,False
145,False,False,True,False,False,False,False,False
146,False,False,True,False,False,False,False,False
147,False,False,False,False,False,False,False,False
148,False,False,False,False,False,False,False,False
149,False,False,False,False,False,False,False,False
150,False,False,False,False,False,False,False,False
151,False,False,False,True,False,False,False,False
152,False,False,False,False,False,False,False,False
153,False,False,True,False,False,False,False,False
154,False,False,False,True,False,False,True,True
155,False,False,False,False,True,False,False,False
156,False,True,False,False,False,False,False,False
157,False,False,False,False,True,False,False,False
158,False,False,False,True,False,False,False,False
159,False,False,False,False,False,False,False,False
160,False,False,False,True,False,False,True,True
161,False,False,False,False,False,False,False,False
162,False,False,False,True,False,False,False,False
